WELL,DEPTH,GR,RHOB,NPHI,PEF,DT,DTS,RT
15/9-F-11 A,2603.1,33.391,2.165,0.381,5.832,108.729,249.502,0.704
15/9-F-11 A,2603.2,34.605,2.159,0.389,6.067,109.842,248.899,0.709
15/9-F-11 A,2603.3,37.914,2.161,0.375,6.195,110.045,249.738,0.721
15/9-F-11 A,2603.4,40.99,2.175,0.345,6.219,107.595,252.568,0.724
15/9-F-11 A,2603.5,43.599,2.199,0.313,6.149,104.575,254.955,0.675
15/9-F-11 A,2603.6,45.476,2.233,0.282,5.984,101.006,256.911,0.676
15/9-F-11 A,2603.7,46.263,2.267,0.261,5.745,95.494,257.435,0.684
15/9-F-11 A,2603.8,46.561,2.29,0.252,5.509,91.164,256.962,0.71
15/9-F-11 A,2603.9,43.912,2.296,0.252,5.328,88.252,255.342,0.815
15/9-F-11 A,2604.0,41.161,2.287,0.255,5.205,84.879,252.521,0.867
15/9-F-11 A,2604.1,38.512,2.267,0.258,5.106,82.841,249.593,0.856
15/9-F-11 A,2604.2,35.021,2.245,0.26,5.028,82.742,246.631,0.792
15/9-F-11 A,2604.3,31.604,2.226,0.26,4.979,82.951,244.047,0.727
15/9-F-11 A,2604.4,30.029,2.213,0.261,4.977,83.446,241.981,0.628
15/9-F-11 A,2604.5,29.24,2.204,0.262,5.003,84.372,240.741,0.566
15/9-F-11 A,2604.6,28.342,2.195,0.266,5.021,85.583,241.161,0.579
15/9-F-11 A,2604.7,27.322,2.187,0.268,5.012,86.863,242.185,0.59
15/9-F-11 A,2604.8,26.961,2.179,0.269,4.996,88.175,243.829,0.578
15/9-F-11 A,2604.9,25.813,2.175,0.268,4.998,89.334,244.862,0.486
15/9-F-11 A,2605.0,25.664,2.174,0.269,5.016,90.155,245.441,0.43
15/9-F-11 A,2605.1,25.722,2.173,0.272,5.026,90.168,245.214,0.387
15/9-F-11 A,2605.2,25.608,2.171,0.274,5.017,89.92,245.17,0.374
15/9-F-11 A,2605.3,25.434,2.171,0.277,4.997,89.54,245.313,0.354
15/9-F-11 A,2605.4,25.519,2.173,0.282,4.985,89.012,245.897,0.351
15/9-F-11 A,2605.5,26.275,2.178,0.284,4.993,88.544,246.412,0.351
15/9-F-11 A,2605.6,24.981,2.182,0.283,5.006,88.129,247.031,0.348
15/9-F-11 A,2605.7,24.824,2.184,0.28,5.002,87.831,248.3,0.351
15/9-F-11 A,2605.8,25.483,2.184,0.273,4.969,87.956,248.893,0.356
15/9-F-11 A,2605.9,24.725,2.181,0.265,4.921,88.326,249.046,0.356
15/9-F-11 A,2606.0,24.805,2.179,0.26,4.897,88.809,248.696,0.356
15/9-F-11 A,2606.1,24.755,2.178,0.259,4.915,89.506,247.906,0.36
15/9-F-11 A,2606.2,25.234,2.179,0.264,4.958,90.338,246.833,0.365
15/9-F-11 A,2606.3,26.622,2.183,0.271,5.002,91.098,245.904,0.369
15/9-F-11 A,2606.4,27.994,2.189,0.276,5.03,91.915,245.323,0.37
15/9-F-11 A,2606.5,27.798,2.193,0.277,5.037,92.767,245.043,0.38
15/9-F-11 A,2606.6,30.169,2.194,0.276,5.04,93.314,245.442,0.387
15/9-F-11 A,2606.7,32.99,2.193,0.273,5.056,93.934,245.803,0.388
15/9-F-11 A,2606.8,34.367,2.191,0.27,5.086,94.626,246.127,0.389
15/9-F-11 A,2606.9,34.147,2.189,0.267,5.112,95.278,246.378,0.392
15/9-F-11 A,2607.0,33.57,2.189,0.266,5.121,96.072,246.196,0.403
15/9-F-11 A,2607.1,33.16,2.189,0.267,5.123,97.037,245.495,0.405
15/9-F-11 A,2607.2,33.631,2.189,0.269,5.139,97.917,244.493,0.407
15/9-F-11 A,2607.3,32.754,2.189,0.272,5.162,98.663,243.615,0.41
15/9-F-11 A,2607.4,32.668,2.189,0.274,5.168,99.222,242.948,0.423
